pretrain_config=TransE
g_config=ComplEx
d_config=TransD
test_batch_size=100
task.dir=wn18
task.type=link
adv.use_pretrained_models=True
adv.n_sample=20
adv.sample_type=random
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=50
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=50
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=50
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=50
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=5
2022-03-09 14:42:04.390686
Test_MRR=0.457107, Test_MR=288.239400, Test_H@10=0.931200
Epoch: 47: 2022-03-09 14:52:50.251218
Epoch 48/5000, D_loss=0.042048, reward=-8.435207
Epoch: 48: 2022-03-09 14:52:59.122983
Epoch 49/5000, D_loss=0.040462, reward=-8.431646
Epoch: 49: 2022-03-09 14:53:07.607375
Epoch 50/5000, D_loss=0.041471, reward=-8.424989
Test_MRR=0.493860, Test_MR=419.407500, Test_H@10=0.925500
Epoch: 50: 2022-03-09 14:57:02.331269
Epoch 51/5000, D_loss=0.041386, reward=-8.421344
Epoch: 51: 2022-03-09 14:57:11.479750
Epoch 52/5000, D_loss=0.041297, reward=-8.415081
Epoch: 52: 2022-03-09 14:57:20.749396
Epoch 53/5000, D_loss=0.040473, reward=-8.413900
Epoch: 53: 2022-03-09 14:57:29.384806
Epoch 54/5000, D_loss=0.041858, reward=-8.414454
Epoch: 54: 2022-03-09 14:57:38.190949
Epoch 55/5000, D_loss=0.042192, reward=-8.400079
Epoch: 55: 2022-03-09 14:57:46.856018
Epoch 56/5000, D_loss=0.042886, reward=-8.400994
Epoch: 56: 2022-03-09 14:57:55.633561
Epoch 57/5000, D_loss=0.041275, reward=-8.401971
Epoch: 57: 2022-03-09 14:58:04.255244
Epoch 58/5000, D_loss=0.041612, reward=-8.392382
Epoch: 58: 2022-03-09 14:58:12.651003
Epoch 59/5000, D_loss=0.042392, reward=-8.381065
Epoch: 59: 2022-03-09 14:58:21.251515
Epoch 60/5000, D_loss=0.041786, reward=-8.371155
Epoch: 60: 2022-03-09 14:58:29.651976
Epoch 61/5000, D_loss=0.042276, reward=-8.372501
Epoch: 61: 2022-03-09 14:58:38.262763
Epoch 62/5000, D_loss=0.042242, reward=-8.365139
Epoch: 62: 2022-03-09 14:58:46.731271
Epoch 63/5000, D_loss=0.042869, reward=-8.356720
Epoch: 63: 2022-03-09 14:58:55.916691
Epoch 64/5000, D_loss=0.041968, reward=-8.354258
Epoch: 64: 2022-03-09 14:59:04.333212
Epoch 65/5000, D_loss=0.042826, reward=-8.358902
Epoch: 65: 2022-03-09 14:59:12.991302
Epoch 66/5000, D_loss=0.042570, reward=-8.355334
Epoch: 66: 2022-03-09 14:59:21.422021
Epoch 67/5000, D_loss=0.040386, reward=-8.353813
Epoch: 67: 2022-03-09 14:59:29.975135
Epoch 68/5000, D_loss=0.040800, reward=-8.348071
Epoch: 68: 2022-03-09 14:59:38.548401
Epoch 69/5000, D_loss=0.041332, reward=-8.338431
Epoch: 69: 2022-03-09 14:59:47.336117
Epoch 70/5000, D_loss=0.041723, reward=-8.331997
Epoch: 70: 2022-03-09 14:59:55.724212
Epoch 71/5000, D_loss=0.040598, reward=-8.335155
Epoch: 71: 2022-03-09 15:00:04.719459
Epoch 72/5000, D_loss=0.041721, reward=-8.324820
Epoch: 72: 2022-03-09 15:00:13.231226
Epoch 73/5000, D_loss=0.042329, reward=-8.322808
Epoch: 73: 2022-03-09 15:00:21.888227
Epoch 74/5000, D_loss=0.041165, reward=-8.321729
Epoch: 74: 2022-03-09 15:00:31.056200
Epoch 75/5000, D_loss=0.040334, reward=-8.308070
Epoch: 75: 2022-03-09 15:00:40.515533
Epoch 76/5000, D_loss=0.041835, reward=-8.306956
Epoch: 76: 2022-03-09 15:00:49.440643
Epoch 77/5000, D_loss=0.041285, reward=-8.309187
Epoch: 77: 2022-03-09 15:00:58.519402
Epoch 78/5000, D_loss=0.040125, reward=-8.309732
Epoch: 78: 2022-03-09 15:01:07.067459
Epoch 79/5000, D_loss=0.042373, reward=-8.288792
Epoch: 79: 2022-03-09 15:01:16.156122
Epoch 80/5000, D_loss=0.040467, reward=-8.293858
Epoch: 80: 2022-03-09 15:01:24.964738
Epoch 81/5000, D_loss=0.041410, reward=-8.291387
Epoch: 81: 2022-03-09 15:01:34.055868
Epoch 82/5000, D_loss=0.041463, reward=-8.285875
Epoch: 82: 2022-03-09 15:01:43.341669
Epoch 83/5000, D_loss=0.041513, reward=-8.285392
Epoch: 83: 2022-03-09 15:01:52.815976
Epoch 84/5000, D_loss=0.041678, reward=-8.285571
Epoch: 84: 2022-03-09 15:02:01.728813
Epoch 85/5000, D_loss=0.042218, reward=-8.274605
Epoch: 85: 2022-03-09 15:02:10.608438
Epoch 86/5000, D_loss=0.041792, reward=-8.274902
Epoch: 86: 2022-03-09 15:02:19.476020
Epoch 87/5000, D_loss=0.041673, reward=-8.270981
Epoch: 87: 2022-03-09 15:02:28.518570
Epoch 88/5000, D_loss=0.043137, reward=-8.262653
Epoch: 88: 2022-03-09 15:02:37.035218
Epoch 89/5000, D_loss=0.042917, reward=-8.253938
Epoch: 89: 2022-03-09 15:02:46.125742
Epoch 90/5000, D_loss=0.041368, reward=-8.253640
Epoch: 90: 2022-03-09 15:02:55.036048
Epoch 91/5000, D_loss=0.041734, reward=-8.253953
Epoch: 91: 2022-03-09 15:03:03.620246
Epoch 92/5000, D_loss=0.041298, reward=-8.249378
Epoch: 92: 2022-03-09 15:03:12.034005
Epoch 93/5000, D_loss=0.041323, reward=-8.251582
Epoch: 93: 2022-03-09 15:03:20.661331
Epoch 94/5000, D_loss=0.042242, reward=-8.250174
Epoch: 94: 2022-03-09 15:03:29.665451
Epoch 95/5000, D_loss=0.041069, reward=-8.230971
Epoch: 95: 2022-03-09 15:03:38.498727
Epoch 96/5000, D_loss=0.042153, reward=-8.230239
Epoch: 96: 2022-03-09 15:03:47.060431
Epoch 97/5000, D_loss=0.041653, reward=-8.236361
Epoch: 97: 2022-03-09 15:03:56.159190
Epoch 98/5000, D_loss=0.042530, reward=-8.230066
Epoch: 98: 2022-03-09 15:04:04.945973
Epoch 99/5000, D_loss=0.041619, reward=-8.229969
Epoch: 99: 2022-03-09 15:04:13.929167
Epoch 100/5000, D_loss=0.041636, reward=-8.227371
Test_MRR=0.530020, Test_MR=397.322100, Test_H@10=0.933300
Epoch: 100: 2022-03-09 15:08:29.926866
Epoch 101/5000, D_loss=0.041524, reward=-8.224244
Epoch: 101: 2022-03-09 15:08:39.546494
Epoch 102/5000, D_loss=0.041323, reward=-8.222685
Epoch: 102: 2022-03-09 15:08:48.013985
Epoch 103/5000, D_loss=0.041514, reward=-8.214972
Epoch: 103: 2022-03-09 15:08:56.895266
Epoch 104/5000, D_loss=0.040989, reward=-8.222370
Epoch: 104: 2022-03-09 15:09:05.574565
Epoch 105/5000, D_loss=0.042291, reward=-8.216691
Epoch: 105: 2022-03-09 15:09:14.301269
Epoch 106/5000, D_loss=0.043258, reward=-8.207568
Epoch: 106: 2022-03-09 15:09:23.176913
Epoch 107/5000, D_loss=0.041355, reward=-8.202519
Epoch: 107: 2022-03-09 15:09:32.364892
Epoch 108/5000, D_loss=0.042146, reward=-8.205928
Epoch: 108: 2022-03-09 15:09:42.061543
Epoch 109/5000, D_loss=0.041497, reward=-8.203924
Epoch: 109: 2022-03-09 15:09:51.957239
Epoch 110/5000, D_loss=0.042470, reward=-8.198027
Epoch: 110: 2022-03-09 15:10:01.051853
Epoch 111/5000, D_loss=0.042162, reward=-8.192156
Epoch: 111: 2022-03-09 15:10:10.283456
Epoch 112/5000, D_loss=0.041695, reward=-8.192077
Epoch: 112: 2022-03-09 15:10:18.906823
Epoch 113/5000, D_loss=0.041582, reward=-8.188926
Epoch: 113: 2022-03-09 15:10:27.563875
Epoch 114/5000, D_loss=0.040681, reward=-8.194859
Epoch: 114: 2022-03-09 15:10:36.084037
Epoch 115/5000, D_loss=0.041032, reward=-8.191833
Epoch: 115: 2022-03-09 15:10:44.735765
Epoch 116/5000, D_loss=0.042591, reward=-8.184379
Epoch: 116: 2022-03-09 15:10:53.566882
Epoch 117/5000, D_loss=0.040798, reward=-8.177135
Epoch: 117: 2022-03-09 15:11:02.664314
Epoch 118/5000, D_loss=0.042202, reward=-8.175790
Epoch: 118: 2022-03-09 15:11:11.112693
Epoch 119/5000, D_loss=0.042263, reward=-8.172499
Epoch: 119: 2022-03-09 15:11:19.749822
Epoch 120/5000, D_loss=0.041181, reward=-8.174949
Epoch: 120: 2022-03-09 15:11:28.226173
Epoch 121/5000, D_loss=0.041058, reward=-8.165001
Epoch: 121: 2022-03-09 15:11:37.509723
Epoch 122/5000, D_loss=0.041352, reward=-8.166065
Epoch: 122: 2022-03-09 15:11:46.018120
Epoch 123/5000, D_loss=0.041423, reward=-8.165851
Epoch: 123: 2022-03-09 15:11:54.715566
Epoch 124/5000, D_loss=0.040924, reward=-8.167413
Epoch: 124: 2022-03-09 15:12:03.175158
Epoch 125/5000, D_loss=0.040234, reward=-8.162000
Epoch: 125: 2022-03-09 15:12:12.293402
Epoch 126/5000, D_loss=0.042362, reward=-8.157197
Epoch: 126: 2022-03-09 15:12:21.243261
Epoch 127/5000, D_loss=0.041880, reward=-8.159610
Epoch: 127: 2022-03-09 15:12:30.045474
Epoch 128/5000, D_loss=0.041771, reward=-8.155977
Epoch: 128: 2022-03-09 15:12:38.458274
Epoch 129/5000, D_loss=0.041743, reward=-8.145739
Epoch: 129: 2022-03-09 15:12:47.107724
Epoch 130/5000, D_loss=0.043159, reward=-8.148204
Epoch: 130: 2022-03-09 15:12:56.059097
Epoch 131/5000, D_loss=0.041909, reward=-8.150255
Epoch: 131: 2022-03-09 15:13:04.933027
Epoch 132/5000, D_loss=0.043092, reward=-8.146535
Epoch: 132: 2022-03-09 15:13:13.518088
Epoch 133/5000, D_loss=0.042218, reward=-8.143046
Epoch: 133: 2022-03-09 15:13:22.159649
Epoch 134/5000, D_loss=0.041036, reward=-8.139832
Epoch: 134: 2022-03-09 15:13:30.580817
Epoch 135/5000, D_loss=0.040853, reward=-8.138602
Epoch: 135: 2022-03-09 15:13:39.432396
Epoch 136/5000, D_loss=0.040983, reward=-8.135119
Epoch: 136: 2022-03-09 15:13:47.916558
Epoch 137/5000, D_loss=0.040906, reward=-8.140220
Epoch: 137: 2022-03-09 15:13:56.623339
Epoch 138/5000, D_loss=0.042649, reward=-8.130638
Epoch: 138: 2022-03-09 15:14:05.047424
Epoch 139/5000, D_loss=0.041771, reward=-8.134221
Epoch: 139: 2022-03-09 15:14:13.794916
Epoch 140/5000, D_loss=0.040655, reward=-8.127079
Epoch: 140: 2022-03-09 15:14:22.450707
Epoch 141/5000, D_loss=0.040783, reward=-8.122993
Epoch: 141: 2022-03-09 15:14:31.490389
Epoch 142/5000, D_loss=0.042625, reward=-8.125257
Epoch: 142: 2022-03-09 15:14:40.299423
Epoch 143/5000, D_loss=0.042071, reward=-8.126790
Epoch: 143: 2022-03-09 15:14:49.112351
Epoch 144/5000, D_loss=0.041716, reward=-8.124228
Epoch: 144: 2022-03-09 15:14:57.658790
Epoch 145/5000, D_loss=0.040382, reward=-8.122728
Epoch: 145: 2022-03-09 15:15:06.417730
Epoch 146/5000, D_loss=0.041411, reward=-8.125602
Epoch: 146: 2022-03-09 15:15:15.668749
Epoch 147/5000, D_loss=0.041158, reward=-8.123698
Epoch: 147: 2022-03-09 15:15:24.621190
Epoch 148/5000, D_loss=0.042106, reward=-8.116730
Epoch: 148: 2022-03-09 15:15:33.085825
Epoch 149/5000, D_loss=0.041176, reward=-8.119202
Epoch: 149: 2022-03-09 15:15:41.727040
Epoch 150/5000, D_loss=0.041401, reward=-8.115399
Test_MRR=0.550930, Test_MR=403.995200, Test_H@10=0.937000
Epoch: 150: 2022-03-09 15:19:31.443255
Epoch 151/5000, D_loss=0.040863, reward=-8.119945
Epoch: 151: 2022-03-09 15:19:40.263721
Epoch 152/5000, D_loss=0.042029, reward=-8.117526
Epoch: 152: 2022-03-09 15:19:48.695686
Epoch 153/5000, D_loss=0.041454, reward=-8.111832
Epoch: 153: 2022-03-09 15:19:57.336968
Epoch 154/5000, D_loss=0.041458, reward=-8.109302
Epoch: 154: 2022-03-09 15:20:07.244208
Epoch 155/5000, D_loss=0.041294, reward=-8.108844
Epoch: 155: 2022-03-09 15:20:16.340449
Epoch 156/5000, D_loss=0.042219, reward=-8.107318
Epoch: 156: 2022-03-09 15:20:24.808300
Epoch 157/5000, D_loss=0.041807, reward=-8.106560
Epoch: 157: 2022-03-09 15:20:33.434502
Epoch 158/5000, D_loss=0.040998, reward=-8.097252
Epoch: 158: 2022-03-09 15:20:41.991386
