pretrain_config=TransE
g_config=ComplEx
d_config=TransD
test_batch_size=100
task.dir=umls
task.type=link
adv.use_pretrained_models=False
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=10
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=10
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=10
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=10
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-15 14:17:12.999580
Test_MRR=0.045361, Test_MR=59.124811, Test_H@10=0.100605
Epoch: 47: 2022-04-15 14:18:00.982352
Epoch 48/5000, D_loss=1.651429, reward=-7.443776
Epoch: 48: 2022-04-15 14:18:02.050804
Epoch 49/5000, D_loss=1.691161, reward=-7.444750
Epoch: 49: 2022-04-15 14:18:03.097817
Epoch 50/5000, D_loss=1.733418, reward=-7.354895
Test_MRR=0.626069, Test_MR=5.090491, Test_H@10=0.871933
Epoch: 50: 2022-04-15 14:18:04.493245
Epoch 51/5000, D_loss=1.728425, reward=-7.356080
Epoch: 51: 2022-04-15 14:18:05.537099
Epoch 52/5000, D_loss=1.757484, reward=-7.296150
Epoch: 52: 2022-04-15 14:18:06.462995
Epoch 53/5000, D_loss=1.756724, reward=-7.299125
Epoch: 53: 2022-04-15 14:18:07.573178
Epoch 54/5000, D_loss=1.765826, reward=-7.280447
Epoch: 54: 2022-04-15 14:18:08.643100
Epoch 55/5000, D_loss=1.796768, reward=-7.253522
Epoch: 55: 2022-04-15 14:18:09.664833
Epoch 56/5000, D_loss=1.782544, reward=-7.268357
Epoch: 56: 2022-04-15 14:18:10.726693
Epoch 57/5000, D_loss=1.825130, reward=-7.205225
Epoch: 57: 2022-04-15 14:18:11.685671
Epoch 58/5000, D_loss=1.805030, reward=-7.245415
Epoch: 58: 2022-04-15 14:18:12.754659
Epoch 59/5000, D_loss=1.844360, reward=-7.217709
Epoch: 59: 2022-04-15 14:18:13.724928
Epoch 60/5000, D_loss=1.835187, reward=-7.265033
Epoch: 60: 2022-04-15 14:18:14.797884
Epoch 61/5000, D_loss=1.851034, reward=-7.228271
Epoch: 61: 2022-04-15 14:18:15.867501
Epoch 62/5000, D_loss=1.843634, reward=-7.214456
Epoch: 62: 2022-04-15 14:18:16.939635
Epoch 63/5000, D_loss=1.865426, reward=-7.207062
Epoch: 63: 2022-04-15 14:18:18.011038
Epoch 64/5000, D_loss=1.894715, reward=-7.155626
Epoch: 64: 2022-04-15 14:18:19.009957
Epoch 65/5000, D_loss=1.901200, reward=-7.134188
Epoch: 65: 2022-04-15 14:18:20.063327
Epoch 66/5000, D_loss=1.933510, reward=-7.084766
Epoch: 66: 2022-04-15 14:18:21.134689
Epoch 67/5000, D_loss=1.918826, reward=-7.096826
Epoch: 67: 2022-04-15 14:18:22.205525
Epoch 68/5000, D_loss=1.933570, reward=-7.085571
Epoch: 68: 2022-04-15 14:18:23.274111
Epoch 69/5000, D_loss=1.941749, reward=-7.088273
Epoch: 69: 2022-04-15 14:18:24.301507
Epoch 70/5000, D_loss=1.935401, reward=-7.114851
Epoch: 70: 2022-04-15 14:18:25.370255
Epoch 71/5000, D_loss=1.940880, reward=-7.096380
Epoch: 71: 2022-04-15 14:18:26.407929
Epoch 72/5000, D_loss=1.980505, reward=-7.051521
Epoch: 72: 2022-04-15 14:18:27.480532
Epoch 73/5000, D_loss=1.991112, reward=-7.049767
Epoch: 73: 2022-04-15 14:18:28.551646
Epoch 74/5000, D_loss=2.003138, reward=-7.028457
Epoch: 74: 2022-04-15 14:18:29.626494
Epoch 75/5000, D_loss=1.995057, reward=-7.039196
Epoch: 75: 2022-04-15 14:18:30.699787
Epoch 76/5000, D_loss=2.018396, reward=-7.030211
Epoch: 76: 2022-04-15 14:18:31.704021
Epoch 77/5000, D_loss=2.021252, reward=-7.024128
Epoch: 77: 2022-04-15 14:18:32.774759
Epoch 78/5000, D_loss=2.058564, reward=-6.966520
Epoch: 78: 2022-04-15 14:18:33.849268
Epoch 79/5000, D_loss=2.053263, reward=-6.950234
Epoch: 79: 2022-04-15 14:18:34.921072
Epoch 80/5000, D_loss=2.069650, reward=-6.941618
Epoch: 80: 2022-04-15 14:18:35.990294
Epoch 81/5000, D_loss=2.044149, reward=-6.981069
Epoch: 81: 2022-04-15 14:18:37.062260
Epoch 82/5000, D_loss=2.074090, reward=-6.971123
Epoch: 82: 2022-04-15 14:18:38.133572
Epoch 83/5000, D_loss=2.078906, reward=-6.987355
Epoch: 83: 2022-04-15 14:18:39.136147
Epoch 84/5000, D_loss=2.046858, reward=-7.041028
Epoch: 84: 2022-04-15 14:18:40.204462
Epoch 85/5000, D_loss=2.108029, reward=-6.958143
Epoch: 85: 2022-04-15 14:18:41.273141
Epoch 86/5000, D_loss=2.095637, reward=-6.993015
Epoch: 86: 2022-04-15 14:18:42.340918
Epoch 87/5000, D_loss=2.135601, reward=-6.930601
Epoch: 87: 2022-04-15 14:18:43.374186
Epoch 88/5000, D_loss=2.115736, reward=-6.955740
Epoch: 88: 2022-04-15 14:18:44.422201
Epoch 89/5000, D_loss=2.141591, reward=-6.946074
Epoch: 89: 2022-04-15 14:18:45.361190
Epoch 90/5000, D_loss=2.129236, reward=-6.984820
Epoch: 90: 2022-04-15 14:18:46.279629
Epoch 91/5000, D_loss=2.140502, reward=-6.980615
Epoch: 91: 2022-04-15 14:18:47.347424
Epoch 92/5000, D_loss=2.139947, reward=-7.009720
Epoch: 92: 2022-04-15 14:18:48.416077
Epoch 93/5000, D_loss=2.140031, reward=-6.992707
Epoch: 93: 2022-04-15 14:18:49.490169
Epoch 94/5000, D_loss=2.147145, reward=-6.989991
Epoch: 94: 2022-04-15 14:18:50.561418
Epoch 95/5000, D_loss=2.179110, reward=-6.939600
Epoch: 95: 2022-04-15 14:18:51.634882
Epoch 96/5000, D_loss=2.168821, reward=-6.974225
Epoch: 96: 2022-04-15 14:18:52.705714
Epoch 97/5000, D_loss=2.177332, reward=-6.964542
Epoch: 97: 2022-04-15 14:18:53.781389
Epoch 98/5000, D_loss=2.175839, reward=-6.969708
Epoch: 98: 2022-04-15 14:18:54.855152
Epoch 99/5000, D_loss=2.207422, reward=-6.911168
Epoch: 99: 2022-04-15 14:18:55.928137
Epoch 100/5000, D_loss=2.200812, reward=-6.919188
Test_MRR=0.475364, Test_MR=9.098926, Test_H@10=0.735429
